name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
American Diamond Set,Set-9561-13-AD,Stylish & classic American Diamond Necklace set which will compliment your beauty ,,,,,10,5050,5050,,,,,"Set-9561-13-AD-01-(1).jpg , Set-9561-13-AD-01-(3).jpg , Set-9561-13-AD-01-(4).jpg",AD Pendant Set,Stylish & classic American Diamond Necklace set which will compliment your beauty 
American Diamond Set,Set-8742-13-AD,Elegant American diamond Necklace Set with  classy curve design to give your beauty a stunning  look,,,,,10,4650,4650,,,,,"Set-8742-13-AD-01-(1).jpg , Set-8742-13-AD-01-(3).jpg , Set-8742-13-AD-01-(4).jpg",AD Pendant Set,Elegant American diamond Necklace Set with  classy curve design to give your beauty a stunning  look
American Diamond Set,Set-9560-13-AD,Elegant American diamond Necklace Set with  adorable floral design to give your beauty a stunning  look,,,,,10,10500,10500,,,,,"Set-9560-13-AD-01-(1).jpg , Set-9560-13-AD-01-(3).jpg , Set-9560-13-AD-01-(4).jpg",AD Pendant Set,Elegant American diamond Necklace Set with  adorable floral design to give your beauty a stunning  look
American Diamond Kada,Kda-1826-70-AD,Exquisite design golden touch Kada for the hand which always care ,,,,,10,29500,29500,,,,,"KDA-1826-70-AD-01-(1).jpg , KDA-1826-70-AD-01-(3).jpg , ",AD Kada,Exquisite design golden touch Kada for the hand which always care 
American Diamond  Bracelet,BT-1481-24-AD,Designer & contemporary Kada for every party girl & women out there!,,,,,10,28500,28500,,,,,"BT-1481-24-AD-01-(1).jpg , BT-1481-24-AD-01-(2).jpg , BT-1481-24-AD-01-(3).jpg",AD Bracelet,Designer & contemporary Kada for every party girl & women out there!
American Diamond Kada,KDA-952-78-AD,"Black & White is the evergreen fashion, wear this Kada & be the new style statement ",,,,,10,15995,15995,,,,,"KDA-952-78-AD-01-(1).jpg , KDA-952-78-AD-01-(4).jpg , KDA-952-78-AD-01-(5).jpg",AD Kada,"Black & White is the evergreen fashion, wear this Kada & be the new style statement "
American Diamond Bangle,BAN-9655-70-AD,Wear the designer Kada which goes on your personality ,,,,,10,35000,35000,,,,,"BAN-9655-70-AD-01-(1).jpg ,BAN-9655-70-AD-01-(2).jpg ,BAN-9655-70-AD-01-(3).jpg ,BAN-9655-70-AD-01-(4).jpg ,BAN-9655-70-AD-01-(5).jpg ,BAN-9655-70-AD-01-(6).jpg ,BAN-9655-70-AD-01-(8).jpg",AD Bangle,Wear the designer Kada which goes on your personality 
Italian Jewellery Kada,KDA-1104-90-LGIJ,American Diamonds are cleverly embedded to design this beautiful Kada,,,,,10,14500,14500,,,,,"KDA-1104-90-LGIJ-01-(1).jpg , KDA-1104-90-LGIJ-01-(3).jpg , KDA-1104-90-LGIJ-01-(4)",Italian Kada,American Diamonds are cleverly embedded to design this beautiful Kada
Italian Jewellery Kada,KDA-2881-52-IJ,Simple but elegant Kada which can worn at party or office,,,,,10,14500,14500,,,,,"KDA-2881-52-IJ-01-(1).jpg , KDA-2881-52-IJ-01-(2).jpg , KDA-2881-52-IJ-01-(3).jpg",Italian Kada,Simple but elegant Kada which can worn at party or office
American Diamond Kada,KDA-2068-70-AD,This artistic Kada symbolizes the color of freshness.,,,,,10,22500,22500,,,,,"KDA-2068-70-AD-01-(1).jpg , KDA-2068-70-AD-01-(2).jpg , KDA-2068-70-AD-01-(4).jpg",AD Kada,This artistic Kada symbolizes the color of freshness.
American Diamond Kada,KDA-2467-24-AD,Dazzling design make this Kada so stunning that it can flaunt anyone.,,,,,10,15000,15000,,,,,"KDA-2467-24-AD-01-(1).jpg , KDA-2467-24-AD-01-(2).jpg , KDA-2467-24-AD-01-(3).jpg",AD Kada,Dazzling design make this Kada so stunning that it can flaunt anyone.
American Diamond Kada,KDA-2066-70-AD,Cuteness is filled in this beautiful elegant Kada,,,,,10,35700,35700,,,,,"KDA-2066-70-AD-01-(1).jpg , KDA-2066-70-AD-01-(2).jpg , KDA-2066-70-AD-01-(3).jpg",AD Kada,Cuteness is filled in this beautiful elegant Kada
