name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Vilandi Set ,Set-9504-16-VL,Marvelous Vilandi set designed and Meenakariand Creation Set,,,,,10,14500,14500,,,,,"Set-9504-16-01 (1).jpg,Set-9504-16-01 (3).jpg,Set-9504-16-01 (4).jpg",Vilandi Necklace Set,Marvelous Vilandi set designed and Meenakariand Creation Set
Vilandi Set,Set-5761-57-VL ,Stunning Vilandi set designed with Acute Stoneand  Meenakari ,,,,,10,20650,20650,,,,,"Set-5761-57-01 (2).jpg,Set-5761-57-01 (4).jpg,Set-5761-57-01 (5).jpg",Vilandi Necklace Set,"Stunning Vilandi set designed with Acute Stone, Meenakari "
Vilandi Set ,Set-9318-68-VL ,Elegant Vilandi set designed with Acute anshape and Meenakari ,,,,,10,35000,35000,,,,,"Set-9318-68-01 (1).jpg,Set-9318-68-01 (3).jpg,Set-9318-68-01 (4).jpg",Vilandi Necklace Set,Elegant Vilandi set designed with Acute anshape and Meenakari 
Vilandi Set ,Set-9453-57-VL ,Sparkling Vilandi set designed with Gold Plated and Acute Stone ,,,,,10,13500,13500,,,,,"Set-9453-57-01 (1).jpg,Set-9453-57-01 (4).jpg",Vilandi Necklace Set,Sparkling Vilandi set designed with Gold Plated and Acute Stone 
Vilandi Set ,Set-9419-57-VL ,Elegant Vilandi set designed withAcute Stone and Meenakari ,,,,,10,23500,23500,,,,,"Set-9419-57-01 (1).jpg,Set-9419-57-01.jpg (2)Set-9419-57-01.jpg (3)Set-9419-57-01 .jpg(4)",Vilandi Necklace Set,"Elegant Vilandi set designed withAcute Stone , Meenakari "
Vilandi Set ,Set-9332-56-VL ,Artistic Vilandi set designed with Acute Stone  and  Meenakari ,,,,,10,14500,14500,,,,,"Set-9332-56-01 (1).jpg,Set-9332-56-01 (3).jpg,Set-9332-56-01 (4).jpg",Vilandi Necklace Set,"Artistic Vilandi set designed with Acute Stone , Meenakari "
Vilandi Set ,Set-9467-56-VL ,Designer Vilandi set designed with Acute Stone  and Meenakari ,,,,,10,19250,19250,,,,,"Set-9467-56-01 (1).jpg,Set-9467-56-01 (3).jpg,Set-9467-56-01 (4).jpg",Vilandi Necklace Set,"Designer Vilandi set designed with Acute Stone , Meenakari "
Vilandi Set ,Set-8765-57-VL ,Beautiful Vilandi set designed with Acute Stone and  Meenakari ,,,,,10,25850,25850,,,,,"Set-8765-57-01 (1).jpg,Set-8765-57-01 (3).jpg",Vilandi Necklace Set,"Beautiful Vilandi set designed with Acute Stone , Meenakari "
Vilandi Set,Set-8469-56-VL ,"Elegant and  beautiful Vilandi set designed with  Acute Stone , Meenakari ",,,,,10,11995,11995,,,,,"Set-8469-56-01 (1).jpg,Set-8469-56-01 (4).jpg,Set-8469-56-01 (5).jpg",Vilandi Necklace Set,"Elegant and  beautiful Vilandi set designed with  Acute Stone , Meenakari "
Vilandi Set ,Set-9156-55-VL,Gorgeous Vilandi set designed with Acute Stone and  Meenakari ,,,,,10,21500,21500,,,,,"Set-9156-55-01 (1).jpg,Set-9156-55-01 (3).jpg",Vilandi Necklace Set,"Gorgeous Vilandi set designed with Acute Stone , Meenakari "
